clip_path,recording,utt_id,start,end,duration_s,text
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u003.wav,J26DS313_R0003,J26DS313_R0003_u003,8.59,9.92,1.32,"Aa hari, patient ge nama mokakda?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u004.wav,J26DS313_R0003,J26DS313_R0003_u004,10.3,13.53,3.21,"Amandi Silva, NIC eka 200371911688."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u005.wav,J26DS313_R0003,J26DS313_R0003_u005,17.0,18.96,1.95,Aa hari. Date of birth eka kiyanna puluwanda?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u006.wav,J26DS313_R0003,J26DS313_R0003_u006,19.0,20.23,1.23,August 8 2003.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u009.wav,J26DS313_R0003,J26DS313_R0003_u009,28.91,30.0,1.08,Address ekath kiyannada?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u010.wav,J26DS313_R0003,J26DS313_R0003_u010,31.02,34.48,3.45,Number 102 Temple Road Nugegoda.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u011.wav,J26DS313_R0003,J26DS313_R0003_u011,35.0,39.84,4.83,Hari. Next Monday hawasa 3 ta thamai appointment eka thiyenne. Enna puluwan neda?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0003_u012.wav,J26DS313_R0003,J26DS313_R0003_u012,40.24,43.77,3.51,Ow. Thank you. Mage nangi ekka enawa mama.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u001.wav,J26DS313_R0004,J26DS313_R0004_u001,1.14,6.72,5.58,"Ah finally, Rumeth, oya kohomada, mokada meeting ekata parakku une?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u002.wav,J26DS313_R0004,J26DS313_R0004_u002,9.09,12.0,2.91,"Aiyo machan traffic eka, Borella langa hari block."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u004.wav,J26DS313_R0004,J26DS313_R0004_u004,14.06,15.45,1.38,Borella eka nan hamadama ehemai.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u005.wav,J26DS313_R0004,J26DS313_R0004_u005,15.51,18.68,3.15,"Hari hari dan hamoma aawane, ehenan trip eka gana katha karamu."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u006.wav,J26DS313_R0004,J26DS313_R0004_u006,20.24,25.88,5.64,"Ow Sathmina, oya whatsapp group ekata daapu plan eka kieuwada hamoma?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u007.wav,J26DS313_R0004,J26DS313_R0004_u007,27.66,30.9,3.24,"mm mokadda me, a hari hari, kiewwa kiewwa kiewwa, Ella yanna kiyala."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u008.wav,J26DS313_R0004,J26DS313_R0004_u008,32.16,34.68,2.52,Ella yanna kiyala? Ella yanna.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0004_u009.wav,J26DS313_R0004,J26DS313_R0004_u009,35.36,38.02,2.64,"Ella, Ella, a hari hari, Ella, Ella, Ella."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u001.wav,J26DS313_R0006,J26DS313_R0006_u001,0.62,9.64,9.0,හරි මම හොටෙල් එකට කතා කරලා බලන්නම් ඇල්ල ගාඩ්න් රිසෝට් එකක් මේ මගේ යාළුවෙක් මම දන්න කෙනෙක් මැනේජර් මහේන් කියලා
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u002.wav,J26DS313_R0006,J26DS313_R0006_u002,13.17,15.86,2.67,ආ මහේන් හොඳයි ඒකෙන් ඩිස්කවුන්ට් එකක් ගන්න පුළුවන්
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u003.wav,J26DS313_R0006,J26DS313_R0006_u003,17.3,24.27,6.96,හෙලෝ මහේන් ඔසදි හියර් මචං හොඳින් නේද අපි මේ හතර දෙනෙක් 14th ටු 16th ඇල්ල එන්න හිතන් ඉන්නවා රූම්ස් තියෙනවද
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u004.wav,J26DS313_R0006,J26DS313_R0006_u004,30.8,36.75,5.94,ඔව් ඔව් ටූ රූම්ස් මහේන් බුකින් එකට එන්අයිසී එක ඕනෙ නේද හරි මහේන් එන්අයිසී එක 953201456V
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u005.wav,J26DS313_R0006,J26DS313_R0006_u005,45.54,47.64,2.1,ඇඩ්රස් එක අහගන්න අපිට ඩිරෙක්ෂන්ස් ඕනෙනේ
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u006.wav,J26DS313_R0006,J26DS313_R0006_u006,49.0,55.47,6.45,මචං හොටෙල් එකේ ඇඩ්රස් එක වට්ස්ඇප් කරන්නකෝ ආ නම්බර් 24 පසන්න රෝඩ් ඇල්ල
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u007.wav,J26DS313_R0006,J26DS313_R0006_u007,60.3,64.91,4.59,හරි හරි කන්ටැක්ට් නම්බර් එක 0771234567 හරි හරි තෑන්ක් යු මචං
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0006_u009.wav,J26DS313_R0006,J26DS313_R0006_u009,78.48,82.19,3.69,හොඳයි මහේන් කිව්වා ඇඩ්වාන්ස් එකක් දාන්න ඕනේ කියලත් 30%
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0009_u001.wav,J26DS313_R0009,J26DS313_R0009_u001,1.22,4.88,3.66,කීප් එකක් ට්‍රිප් එකට කලින් අපේ රිපෝට් එක නිමල් ඇහුවා අද
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0009_u002.wav,J26DS313_R0009,J26DS313_R0009_u002,8.75,10.18,1.41,අයියෝ රිපෝට් එක
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0009_u004.wav,J26DS313_R0009,J26DS313_R0009_u004,14.12,16.43,2.31,අපි ටිප් එක ඉවර කරන්න ඕනේ පොඩ්ඩක් රීෂෙඩියුල් කරන්න කියලා
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0009_u005.wav,J26DS313_R0009,J26DS313_R0009_u005,18.08,24.82,6.72,මම නිමල්ට කතා කරලා බලන්නම් ෆ්‍රයිඩේ එක නම් මන්දෙට රීෂෙඩියුල් කරගන්න පුළුවන් වෙයි එහෙනම් ට්‍රිප් එක නිසා ප්‍රෙෂර් එකක් නෑනේ
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0009_u006.wav,J26DS313_R0009,J26DS313_R0009_u006,30.26,31.75,1.47,එහෙනම් මම ස්ලයිඩ්ස් එක බලාගන්නම් සත්මිණ
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0009_u008.wav,J26DS313_R0009,J26DS313_R0009_u008,36.64,39.86,3.21,කොහොම හරි හෙට එවන්න තව එක්කෙනෙක්ගෙන් අහන්න ඕනේ සෙල්වීගෙන්
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u001.wav,J26DS313_R0011,J26DS313_R0011_u001,1.02,5.04,4.02,Good morning Lanka Broadband Helpdesk. Netmi speaking. කොහොමද මම උදව් කරන්නේ?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u002.wav,J26DS313_R0011,J26DS313_R0011_u002,6.0,10.17,4.17,"Hello Netmi. මගේ internet connection එකෙන් ඉඳලා වැඩ කරන්නේ නැහැ. router එක restart කරා, ඒත් signal එක එන්නේ නැහැ."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u003.wav,J26DS313_R0011,J26DS313_R0011_u003,12.66,17.66,4.98,I apologize for the inconvenience sir. System එකේත් check කරන්න ඕනේ. ඔයාගේ NIC එක කියන්න.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u004.wav,J26DS313_R0011,J26DS313_R0011_u004,18.42,23.17,4.74,මගේ NIC එක 198512345678. නම Roshan Perera.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u005.wav,J26DS313_R0011,J26DS313_R0011_u005,28.1,33.12,5.01,"Thank you Roshan. Address එක 10, Number 10, Flower Road, Colombo 7 ද?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u006.wav,J26DS313_R0011,J26DS313_R0011_u006,34.04,38.81,4.77,ඔව් ඔව් මේක තමයි. මම ගෙදර ඉඳලා වැඩ කරන්නේ. සෝ මේක ලොකු ප්‍රශ්නයක්. පුළුවන් තරම් ඉක්මනට මේක හදලා දෙන්න.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u007.wav,J26DS313_R0011,J26DS313_R0011_u007,41.06,47.28,6.21,"හරි sir, මම මේකට technical team එකට connect කරන්නම්. පොඩ්ඩක් line එකේ ඉන්න. Faheema ඔයාට මේ line එක check කරන්න පුළුවන්ද?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u008.wav,J26DS313_R0011,J26DS313_R0011_u008,48.04,58.9,10.86,ඔව් Netmi. එන්න ප්‍රශ්න. අ මම දැක්කා Roshan ඔයාගේ area එකේ fiber line එකේ issue එකක් තියෙනවා. අපි back-end එකෙන් reset එකක් යවලා බලමු.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u009.wav,J26DS313_R0011,J26DS313_R0011_u009,59.68,62.92,3.24,Reset කරලා වැඩක් නැහැ Faheema. මම උදේ ඉඳලා තුන් පාරක් reset කරා.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u010.wav,J26DS313_R0011,J26DS313_R0011_u010,63.32,69.9,6.57,"ඔයාගේ cable එක කැඩිලා තියෙන්නේ. Faheema, cable damage එකක් නම් අපි physical inspection එකක් කරන්න ඕනේ."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u011.wav,J26DS313_R0011,J26DS313_R0011_u011,71.14,72.37,1.23,එහෙනම් අද දවසෙන් මට වැඩ කරන්න වෙන්නේ නැද්ද?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u012.wav,J26DS313_R0011,J26DS313_R0011_u012,74.9,83.98,9.06,අපි try එකක් දාලා බලමු. Roshan ඔයාගේ mobile number එක confirm කරන්නකෝ technical technician එකේදී call එකක් දෙන්න.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u013.wav,J26DS313_R0011,J26DS313_R0011_u013,85.14,86.27,1.11,නංබර් එක 0712233445.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u014.wav,J26DS313_R0011,J26DS313_R0011_u014,90.14,93.16,3.0,"හරි sir, අපි හෙට උදේ team එකක් එවන්න බලන්නම් අද බැරි වුණොත්."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u015.wav,J26DS313_R0011,J26DS313_R0011_u015,93.82,95.0,1.02,හරි හරි ලොකු උදව්වක්. Please update me.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0011_u016.wav,J26DS313_R0011,J26DS313_R0011_u016,96.16,97.6,1.44,"එසේමයි sir, අපි SMS එකක් යවන්නම්."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u001.wav,J26DS313_R0013,J26DS313_R0013_u001,0.52,8.0,7.47,Good afternoon. Welcome to Senaratne and Associates. Let's discuss confidential case details about your property agreement dispute.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u002.wav,J26DS313_R0013,J26DS313_R0013_u002,9.4,15.88,6.48,Good afternoon miss. මගේ business partner agreement එක breach කරලා property එක transfer කරන්න ට්‍රයි කරා. ඒක නිසා තමයි මම ආවේ.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u003.wav,J26DS313_R0013,J26DS313_R0013_u003,17.0,22.54,5.52,"Miss, මම registry එක and contract documents check කරා. clause 4 අනුව එයාලට ඒක කරන්න විදිහක් නෑ."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u004.wav,J26DS313_R0013,J26DS313_R0013_u004,24.92,32.48,7.53,"Let me check the file. Mahesh, ඔයාගේ full name එකයි NIC එකයි කියන්නකෝ බලන්න. System එකේ record update කරන්න."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u005.wav,J26DS313_R0013,J26DS313_R0013_u005,33.06,35.15,2.07,මගේ නම මහේෂ් ගුණවර්ධන. NIC එක 198212345678.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u006.wav,J26DS313_R0013,J26DS313_R0013_u006,42.0,47.72,5.7,"Address එක update කරන්නද? දැන් system එකේ තියෙන්නේ 45 Duplication Road, Colombo 3 නේද?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u007.wav,J26DS313_R0013,J26DS313_R0013_u007,48.5,53.44,4.92,"නෑ miss, ඒක පරණ address එකක්. අලුත් එක number 12 Baseline Road, Borella."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u008.wav,J26DS313_R0013,J26DS313_R0013_u008,54.14,56.51,2.37,මහේෂ් ඔයාගේ phone number එක 0777123456 නේද?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u009.wav,J26DS313_R0013,J26DS313_R0013_u009,60.0,62.68,2.67,"ඔව්, ඒක තමයි number එක. NDA එක ඉක්මනට send කරන්න පුළුවන්ද?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u010.wav,J26DS313_R0013,J26DS313_R0013_u010,64.04,72.0,7.95,සරි පුරියම්. We will find an injunction order immediately to protect our rights under this.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u011.wav,J26DS313_R0013,J26DS313_R0013_u011,73.56,76.2,2.64,Miss court එකට යන්න කලින් notice එක send කරමුද?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u012.wav,J26DS313_R0013,J26DS313_R0013_u012,77.6,82.48,4.86,"ඔව්, first formal notice එක send කරමු. Mahesh, ඔයාට හෙට office එකට එන්න පුළුවන්ද sign කරන්න?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u013.wav,J26DS313_R0013,J26DS313_R0013_u013,82.52,83.93,1.41,"හරි miss, මම හෙට උදේ එන්නම්."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0013_u014.wav,J26DS313_R0013,J26DS313_R0013_u014,87.58,93.5,5.91,"Great. Anita, මම හෙට උදේම draft එක email කරන්නම්. ඔයා court documentation එක check කරලා finish කරන්න."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u001.wav,J26DS313_R0015,J26DS313_R0015_u001,0.68,5.08,4.38,"ආයුබෝවන්, Golden Travelers එකට welcome. How can I help you today?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u002.wav,J26DS313_R0015,J26DS313_R0015_u002,5.5,9.76,4.26,අපි honeymoon package එකක් බලන්න ආවේ. Next month Singapore යන්න කියලා හිතාගෙන ඉන්නේ.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u003.wav,J26DS313_R0015,J26DS313_R0015_u003,10.6,15.72,5.07,Congratulations. Singapore package ගොඩක් තියෙනවා. ඔයාලගේ budget එක කොහොමද බැලුවේ?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u004.wav,J26DS313_R0015,J26DS313_R0015_u004,16.84,22.62,5.76,"අපි 500,000 වගේ බැලුවේ. Hotel එක city එකේම තියෙන්න ඕනේ shopping යන්න ලේසි වෙන්න."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u005.wav,J26DS313_R0015,J26DS313_R0015_u005,23.3,33.6,10.29,"හරි, මම options තුනක් පෙන්නන්නම්. Before that, passport වල validity එක check කරන්න ඕනේ. ඔයාලගේ names ටික කියන්න බලන්න passport numbersුත් එක්ක?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u006.wav,J26DS313_R0015,J26DS313_R0015_u006,34.9,41.08,6.18,මම අසංක පෙරේරා. Passport number එක N අනූ අටයි හැත්තෑ හයයි පන්සිය හතළිස් තුන.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u007.wav,J26DS313_R0015,J26DS313_R0015_u007,41.76,46.16,4.38,මම දිලිනි ප්‍රනාන්දු. මගේ passport එක N එකසිය විසි තුනයි හාරසිය පනස් හයයි හත.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u008.wav,J26DS313_R0015,J26DS313_R0015_u008,48.78,54.46,5.67,"දිලිනි, ඔයාගේ passport එක නම් next month expire වෙනවා නේද? System එකේ warning එකක් එනවනේ."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u009.wav,J26DS313_R0015,J26DS313_R0015_u009,55.26,57.11,1.83,අයියෝ සිරාවට? මම බැලුවේ නෑනේ expire date එක.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u010.wav,J26DS313_R0015,J26DS313_R0015_u010,58.76,62.24,3.48,මම කිව්වා නේද check කරන්න කියලා? දැන් visa එකට apply කරන්න බෑනේ මෙහෙම.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u011.wav,J26DS313_R0015,J26DS313_R0015_u011,62.64,64.29,1.65,Urgently ඒක renew කරන්නම්.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u012.wav,J26DS313_R0015,J26DS313_R0015_u012,65.88,71.52,5.64,"බය වෙන්න එපා, බය වෙන්න එපා. One-day service තියෙනවනේ. ඉදු ඔරුව පෙරිය ප්‍රචන ඉල්ලයි. Oh, my bad."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u013.wav,J26DS313_R0015,J26DS313_R0015_u013,73.82,76.78,2.94,"හරි, ඒක කරමු. Packages වල details මොනවද?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u014.wav,J26DS313_R0015,J26DS313_R0015_u014,77.76,85.11,7.35,Package A එක තියෙනවා Marina Bay ළඟම. But ඒක 6 lakhs වෙනවා.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u016.wav,J26DS313_R0015,J26DS313_R0015_u016,91.44,94.86,3.42,"ඔව්, budget එකට වැඩියි. අපි Package B බලමුද?"
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u017.wav,J26DS313_R0015,J26DS313_R0015_u017,95.78,102.58,6.78,"Package B 450,000 වලට යන්නේ. ඒකේ Sentosa tour එකත් include වෙලා තියෙනවා."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u018.wav,J26DS313_R0015,J26DS313_R0015_u018,105.54,106.79,1.23,"ඒක හොඳයි, අපි ඒක book කරමු."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u019.wav,J26DS313_R0015,J26DS313_R0015_u019,108.12,111.46,3.33,Booking එක confirm කරන්න contact details ඕනේ. Address එක මොකක්ද?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u020.wav,J26DS313_R0015,J26DS313_R0015_u020,113.12,114.91,1.77,"Number අසූ අට, Galle Road, දෙහිවල."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u022.wav,J26DS313_R0015,J26DS313_R0015_u022,117.88,121.01,3.12,මගේ එක ලියාගන්න. බිංදුවයි හතයි හතයි පන්සිය පනස් පහයි හතළිස් හතරයි තිස් තුන.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u023.wav,J26DS313_R0015,J26DS313_R0015_u023,123.84,135.98,12.12,"Perfect. Reservation එක hold කරන්න 50,000 විතර advance එකක් ගෙවන්න ඕනේ. පොඩ්ඩක් ඉන්න බලන්න. අද හරි හෙට හරි pay කරන්නකෝ."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u024.wav,J26DS313_R0015,J26DS313_R0015_u024,139.24,142.07,2.82,"හරි, අපි හෙට උදේ advance එක transfer කරන්නම් account එකට."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0015_u025.wav,J26DS313_R0015,J26DS313_R0015_u025,143.4,148.72,5.31,"Great. දිලිනි, passport එක අලුත් කරලා copy එකක් WhatsApp කරන්න."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0016_u001.wav,J26DS313_R0016,J26DS313_R0016_u001,1.52,6.38,4.86,Welcome to the Student Affairs Office. Registration එක complete කරන්න documentation check කරමු.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0016_u002.wav,J26DS313_R0016,J26DS313_R0016_u002,7.06,15.78,8.7,Good morning sir. මම ඔෆර් ලෙටර් එක ගත්තා last week IT degree එකට. හැබැයි මගේ final exam වල වැඩ ගොඩක් තියෙනවා මේ දවස්වල. ඒක හින්දා අද මේක ඉවර කරගන්න.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0016_u003.wav,J26DS313_R0016,J26DS313_R0016_u003,17.14,20.0,2.85,ඒක හොඳයි. Full name එකයි NIC එකයි system එකෙන් verify කරමු.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0016_u004.wav,J26DS313_R0016,J26DS313_R0016_u004,20.6,22.49,1.89,මගේ නම පසින්දි සිල්වා. NIC එක 200311223344.
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0016_u005.wav,J26DS313_R0016,J26DS313_R0016_u005,27.28,32.6,5.31,Sir අපි first sem එකේ fee එක ගෙව්වා. Receipt එක මේ තියෙන්නේ. තව documents මොනවාද ඕනේ?
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0016_u006.wav,J26DS313_R0016,J26DS313_R0016_u006,33.68,36.74,3.06,"Mm, let me check. පසින්දිගේ date of birth එක confirm කරන්න."
/mnt/F/SLIIT/Research/J26-DS-313-SORA/c1/data/asr_clips/J26DS313_R0016_u008.wav,J26DS313_R0016,J26DS313_R0016_u008,40.34,44.13,3.78,"Address එක update කරන්න ඕනේ නැද්ද? දැන් system එකේ තියෙන්නේ අංක 25, කඩවෙල රෝඩ්, මාලබේ."
