recording_id,source_url,owner_creator,licence_consent,acquisition_date,orig_start,orig_end,duration_s,languages,speakers,privacy_risk,source_group,status,wav_sha256,notes
J26DS313_R0012,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-06,0.00,107.11,107.11,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,cbd94d9d76626bb29b0bcab008e96f4431b4c97df81b8c9105536e33f9fe005a,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0013,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-06,0.00,96.87,96.87,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,d211cacd52ca545eb60df55554c14590fba9efda58c04f287a635ea6c8231ce9,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0014,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-11,0.00,90.90,90.90,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,9d712e6e226c3d13d1de6f98b8db744f5cbcbfbc8d647b392940c8f75f77f3d6,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0015,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-11,0.00,150.46,150.46,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,af950bfd67fcd7688511f334c01dc87c315291d30a87dc0c97866d68ea238147,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0016,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-11,0.00,110.61,110.61,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,4db38007319b22f6462f3d2090e0fdf1e642fe90e68aea1187d44f3ae98b3552,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0017,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-10,0.00,151.06,151.06,EN+OTHER+OTHER,3,high,FILL_IN,VALIDATED,7176242280b90b77be753a28b0a1274243f6bd52b482d96056a6ed6944bfb5fd,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0018,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-10,0.00,156.44,156.44,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,d10c5969945355b2fbe356e4391f1642c95dcea0d4172b963dba11931616efbf,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0019,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-11,0.00,169.64,169.64,SI+EN,3,high,FILL_IN,ANNOTATED_DRAFT,c45730d1b0d25ed13728d6864ce74864989ff1ae839ff34f7a3f3934ffe953b8,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: 3 tokens outside audio; UEM runs past audio; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0020,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-11,0.00,161.71,161.71,SI+EN,3,high,FILL_IN,ANNOTATED_DRAFT,b19d4c1c58da0a54d5a2f26b7fd6e993d98a95359922f786ac5b299f37c6a91c,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: UEM runs past audio (also UEM/RTTM end differ >1s); status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0021,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-11,0.00,204.12,204.12,SI+EN,3,high,FILL_IN,ANNOTATED_DRAFT,4923e43d349a09a75a1b061597286c4f56c4ada917edf9fb9f2de438aeb9dff3,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: RTTM runs past audio; UEM runs past audio; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0022,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-15,0.00,186.64,186.64,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,d69d577509bbc6fb6b425fc104c9b31ef8276bc966acc5d8d9fb36abdc68749f,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0023,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-15,0.00,141.67,141.67,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,2b5a6ab8a01453b4c19db0429aa70fd129151d14c7fb2babd329bc67bd4f4497,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0024,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-15,0.00,150.63,150.63,SI+EN+OTHER,3,high,FILL_IN,VALIDATED,695e29d411999de5a0db341b9d5c2934388ce194e2033ad56d92e346aa663712,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0025,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-18,0.00,222.98,222.98,SI+EN,3,high,FILL_IN,ANNOTATED_DRAFT,40a176ac086a867b8d9f10ef371ec72cae1795fb47c1d6b538047c7995b8704c,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: UEM runs past audio; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0026,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-18,0.00,127.40,127.40,SI+EN,3,high,FILL_IN,ANNOTATED_DRAFT,ef7c8972b89af554a932e3f028c7429795d72531ba0254eb8c0e459af855f439,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: UEM runs past audio; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0027,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-16,0.00,266.12,266.12,SI+EN+OTHER,6,high,FILL_IN,VALIDATED,d7d4af02286112392b3ec3b8d3e16cfcdf168357d29bff088194bbc0f855e94b,"C1/C2/C3/C4 all present (full 4-layer annotation); 6 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
J26DS313_R0028,recorded_by_team,FILL_IN,consent_signed_fictional_content,2026-08-18,0.00,37.62,37.62,SI+EN,3,high,FILL_IN,VALIDATED,6ee8c256ace5a538dd2743f0c79d7f4b873ade367ed35b26be501c319da67cce,"C1/C2/C3/C4 all present (full 4-layer annotation); 3 speakers in RTTM; validate.py: validate.py: no FAIL lines; status set to VALIDATED pending a second teammate's manual sign-off per DATA_CONTRACT.md (not auto-promotable to VALIDATED); acquisition_date approximated from git history (first commit touching this recording), not a confirmed recording date; owner_creator/licence_consent/source_group need team fill-in"
